Schedule ID,Source,Destination,Tags,notes,First Run Start,Files Transferred,MB Transferred,Times run,Total Duration,Average File Velocity (files/hour),Average Data Velocity (MB/hour),Last Status,Last Status Code,Last Skipped,Last Files,Last MB,Last MB Skipped,Last Failed Files,Last Folders Listed,Last Folders Failed,Last Run Start,Last Run End,Last Run Duration,Last File Velocity (files/hour),Last Data Velocity (MB/hour)
sCheDuLEid1,user1@contoso.com,user__1@corp.contoso.com,admin,These,2018-05-11T18:27:36+00:00,54164,31489.52,10,"0 days, 10 hours, 19 minutes and 16 seconds",5247.88,3050.98,Some Problems,210,53885,94,112.89,31245.98,3,7194,0,2018-05-18T22:30:01+00:00,2018-05-18T23:00:43+00:00,"0 days, 0 hours, 30 minutes and 42 seconds",183.71,220.63
sCheDuLEid2,user2@contoso.com,user__2@corp.contoso.com,sales,can,2018-05-11T18:32:37+00:00,66326,43469.46,5,"0 days, 11 hours, 15 minutes and 29 seconds",5891.43,3861.19,Success,101,66326,0,0,43469.46,0,6973,0,2018-05-19T00:30:33+00:00,2018-05-19T00:48:20+00:00,"0 days, 0 hours, 17 minutes and 47 seconds",0,0
sCheDuLEid3,user3@contoso.com,user__3@corp.contoso.com,sales,be,2018-05-12T02:17:38+00:00,1191,524.84,6,"0 days, 0 hours, 14 minutes and 5 seconds",5074.08,2236,Success,100,1170,6,2.72,516.7,0,57,0,2018-05-19T00:50:49+00:00,2018-05-19T00:52:05+00:00,"0 days, 0 hours, 1 minutes and 16 seconds",284.21,128.84
sCheDuLEid4,user4@contoso.com,user__4@corp.contoso.com,admin,anything,2018-05-12T02:25:18+00:00,69606,78307.03,5,"0 days, 10 hours, 32 minutes and 58 seconds",6598.07,7422.86,Some Problems,210,63769,1171,724.27,73875.51,1,5877,0,2018-05-19T01:30:07+00:00,2018-05-19T01:52:53+00:00,"0 days, 0 hours, 22 minutes and 46 seconds","3,086.09","1,908.76"
sCheDuLEid5,user5@contoso.com,user__5@corp.contoso.com,admin,you,2018-05-12T04:18:39+00:00,731,8408.27,5,"0 days, 0 hours, 12 minutes and 46 seconds",3435.51,39516.67,Success,101,731,0,0,8408.27,0,9,0,2018-05-19T01:52:55+00:00,2018-05-19T01:53:50+00:00,"0 days, 0 hours, 0 minutes and 55 seconds",0,0
sCheDuLEid6,user6@contoso.com,user__6@corp.contoso.com,support,want,2018-05-12T04:28:20+00:00,173716,133752.56,9,"1 days, 19 hours, 24 minutes and 10 seconds",4002.42,3081.66,Some Problems,210,173711,1,0.02,141799.63,6,23376,0,2018-05-19T02:54:01+00:00,2018-05-19T06:03:19+00:00,"0 days, 3 hours, 9 minutes and 18 seconds",0.32,0.01
sCheDuLEid7,user7@contoso.com,user__7@corp.contoso.com,support,to,2018-05-13T07:23:19+00:00,75149,53857.91,5,"0 days, 12 hours, 30 minutes and 50 seconds",6005.25,4303.85,Success,100,75127,17,101.14,53756.46,0,9378,0,2018-05-19T06:09:34+00:00,2018-05-19T06:34:01+00:00,"0 days, 0 hours, 24 minutes and 27 seconds",41.72,248.2
sCheDuLEid8,user8@contoso.com,user__8@corp.contoso.com,hr,comment,2018-05-13T16:12:57+00:00,2,1.05,5,"0 days, 0 hours, 1 minutes and 39 seconds",72.73,38.18,Success,101,2,0,0,1.05,0,1,0,2018-05-19T06:36:35+00:00,2018-05-19T06:36:58+00:00,"0 days, 0 hours, 0 minutes and 23 seconds",0,0
sCheDuLEid9,user9@contoso.com,user__9@corp.contoso.com,hr,on,2018-05-13T16:13:57+00:00,41588,26980.66,5,"0 days, 7 hours, 53 minutes and 3 seconds",5274.88,3422.13,Success,101,41589,0,0,26980.7,0,5496,0,2018-05-19T07:23:00+00:00,2018-05-19T07:49:00+00:00,"0 days, 0 hours, 26 minutes and 0 seconds",0,0
sCheDuLEid10,user10@contoso.com,user__10@corp.contoso.com,accounting,for,2018-05-13T19:47:15+00:00,2818,1953.55,5,"0 days, 0 hours, 35 minutes and 10 seconds",4807.96,3333.07,Success,101,29,0,0,81.37,0,6,0,2018-05-19T07:49:06+00:00,2018-05-19T07:49:54+00:00,"0 days, 0 hours, 0 minutes and 48 seconds",0,0
sCheDuLEid11,user11@contoso.com,user__11@corp.contoso.com,accounting,each,2018-05-13T20:19:15+00:00,2,1.05,5,"0 days, 0 hours, 3 minutes and 15 seconds",36.92,19.38,Success,101,2,0,0,1.05,0,2,0,2018-05-18T22:29:16+00:00,2018-05-18T22:29:57+00:00,"0 days, 0 hours, 0 minutes and 41 seconds",0,0
sCheDuLEid12,user12@contoso.com,user__12@corp.contoso.com,sales,user,2018-05-13T22:17:57+00:00,246533,150495.13,9,"1 days, 17 hours, 46 minutes and 36 seconds",5901.21,3602.37,Success,101,210261,0,0,134319.6,0,28156,0,2018-05-18T23:01:12+00:00,2018-05-19T00:26:43+00:00,"0 days, 1 hours, 25 minutes and 31 seconds",0,0
sCheDuLEid13,user13@contoso.com,user__13@corp.contoso.com,legal,pairing.,2018-05-14T12:49:35+00:00,2,1.05,5,"0 days, 0 hours, 2 minutes and 9 seconds",55.81,29.3,Success,101,2,0,0,1.05,0,1,0,2018-05-19T00:26:44+00:00,2018-05-19T00:27:07+00:00,"0 days, 0 hours, 0 minutes and 23 seconds",0,0
