Source User,Destination User
contoso.com,corp.contoso.com
Box Sales Group,O365 Sales Group
Box IT Group,O365 IT Group
user1@contoso.com,user__1@corp.contoso.com
user2@contoso.com,user__2@corp.contoso.com
user3@contoso.com,user__3@corp.contoso.com
user4@contoso.com,user__4@corp.contoso.com
user5@contoso.com,user__5@corp.contoso.com
user6@contoso.com,user__6@corp.contoso.com
user7@contoso.com,user__7@corp.contoso.com
user8@contoso.com,user__8@corp.contoso.com
user9@contoso.com,user__9@corp.contoso.com
user10@contoso.com,user__10@corp.contoso.com
user11@contoso.com,user__11@corp.contoso.com
user12@contoso.com,user__12@corp.contoso.com
user13@contoso.com,user__13@corp.contoso.com
user14@contoso.com,user__14@corp.contoso.com
user15@contoso.com,user__15@corp.contoso.com
user16@contoso.com,user__16@corp.contoso.com
user17@contoso.com,user__17@corp.contoso.com
user18@contoso.com,user__18@corp.contoso.com
user19@contoso.com,user__19@corp.contoso.com
user20@contoso.com,user__20@corp.contoso.com
user21@contoso.com,user__21@corp.contoso.com
user22@contoso.com,user__22@corp.contoso.com
user23@contoso.com,user__23@corp.contoso.com
user24@contoso.com,user__24@corp.contoso.com
user25@contoso.com,user__25@corp.contoso.com
user26@contoso.com,user__26@corp.contoso.com
user27@contoso.com,user__27@corp.contoso.com
user28@contoso.com,user__28@corp.contoso.com
user29@contoso.com,user__29@corp.contoso.com
user30@contoso.com,user__30@corp.contoso.com
user31@contoso.com,user__31@corp.contoso.com
user32@contoso.com,user__32@corp.contoso.com
user33@contoso.com,user__33@corp.contoso.com
user34@contoso.com,user__34@corp.contoso.com
user35@contoso.com,user__35@corp.contoso.com
user36@contoso.com,user__36@corp.contoso.com
user37@contoso.com,user__37@corp.contoso.com
user38@contoso.com,user__38@corp.contoso.com
user39@contoso.com,user__39@corp.contoso.com
user40@contoso.com,user__40@corp.contoso.com
user41@contoso.com,user__41@corp.contoso.com
user42@contoso.com,user__42@corp.contoso.com
user43@contoso.com,user__43@corp.contoso.com
user44@contoso.com,user__44@corp.contoso.com
user45@contoso.com,user__45@corp.contoso.com
user46@contoso.com,user__46@corp.contoso.com
user47@contoso.com,user__47@corp.contoso.com
user48@contoso.com,user__48@corp.contoso.com
user49@contoso.com,user__49@corp.contoso.com
user50@contoso.com,user__50@corp.contoso.com
user51@contoso.com,user__51@corp.contoso.com
user52@contoso.com,user__52@corp.contoso.com
user53@contoso.com,user__53@corp.contoso.com
user54@contoso.com,user__54@corp.contoso.com
user55@contoso.com,user__55@corp.contoso.com
user56@contoso.com,user__56@corp.contoso.com
user57@contoso.com,user__57@corp.contoso.com
user58@contoso.com,user__58@corp.contoso.com
user59@contoso.com,user__59@corp.contoso.com
user60@contoso.com,user__60@corp.contoso.com
user61@contoso.com,user__61@corp.contoso.com
user62@contoso.com,user__62@corp.contoso.com
user63@contoso.com,user__63@corp.contoso.com
user64@contoso.com,user__64@corp.contoso.com
user65@contoso.com,user__65@corp.contoso.com
user66@contoso.com,user__66@corp.contoso.com
user67@contoso.com,user__67@corp.contoso.com
user68@contoso.com,user__68@corp.contoso.com
user69@contoso.com,user__69@corp.contoso.com
user70@contoso.com,user__70@corp.contoso.com
user71@contoso.com,user__71@corp.contoso.com
user72@contoso.com,user__72@corp.contoso.com
user73@contoso.com,user__73@corp.contoso.com
user74@contoso.com,user__74@corp.contoso.com
user75@contoso.com,user__75@corp.contoso.com
user76@contoso.com,user__76@corp.contoso.com
user77@contoso.com,user__77@corp.contoso.com
user78@contoso.com,user__78@corp.contoso.com
user79@contoso.com,user__79@corp.contoso.com
user80@contoso.com,user__80@corp.contoso.com
user81@contoso.com,user__81@corp.contoso.com
user82@contoso.com,user__82@corp.contoso.com
user83@contoso.com,user__83@corp.contoso.com
user84@contoso.com,user__84@corp.contoso.com
user85@contoso.com,user__85@corp.contoso.com
user86@contoso.com,user__86@corp.contoso.com
user87@contoso.com,user__87@corp.contoso.com
user88@contoso.com,user__88@corp.contoso.com
user89@contoso.com,user__89@corp.contoso.com
user90@contoso.com,user__90@corp.contoso.com
user91@contoso.com,user__91@corp.contoso.com
user92@contoso.com,user__92@corp.contoso.com
user93@contoso.com,user__93@corp.contoso.com
user94@contoso.com,user__94@corp.contoso.com
user95@contoso.com,user__95@corp.contoso.com
